N,S_wide,S_narrow,M_wide,M_narrow,abs_err_wide,abs_err_narrow,rel_err_wide,rel_err_narrow
21600,0.9213524212909324,0.7885185185185185,2047,17032,0.02316476460853123,0.15599866738094514,0.024525508857174923,0.16516233871635447
22100,0.9590161258777865,0.7887782805429864,2180,17432,0.014498939978322856,0.15573890535647728,0.015350636488965012,0.16488731775501483
22600,0.9334971248827031,0.7860619469026549,2170,17765,0.011020061016760563,0.1584552389968088,0.01166740127260486,0.16776321422453724
23100,0.9200255063908693,0.7843290043290043,2186,18118,0.024491679508594322,0.16018818157045933,0.025930369372020368,0.16959795328436733
23600,0.9512038949192385,0.7859745762711864,2309,18549,0.006686709019774861,0.15854260962827726,0.0070794995788320235,0.1678557171803043
24100,0.9266284767068064,0.7818257261410788,2297,18842,0.01788870919265728,0.16269145975838484,0.01893952747468736,0.1722482790013543
24600,0.9568004531322758,0.7858536585365854,2421,19332,0.012283267232812145,0.15866352736287825,0.01300481072889615,0.1679837378626234
25100,0.9311559695545415,0.7860159362549801,2404,19729,0.013361216344922155,0.15850124964448353,0.014146080711277128,0.1678119276289746
25600,0.9289197088253505,0.7885546875,2446,20187,0.015597477074113186,0.15596249839946363,0.016513703834049043,0.16512404509711548
26100,0.9498638576723727,0.7872413793103449,2550,20547,0.00534667177290904,0.15727580658911877,0.005660745884488491,0.1665144996163781
26600,0.9331057553802228,0.7845112781954887,2553,20868,0.011411430519240873,0.16000590770397494,0.012081760596419184,0.16940497228920331
27100,0.9291635469907348,0.7891143911439115,2590,21385,0.015353638908728873,0.1554027947555522,0.01625554213087992,0.16453146335030644
27600,0.9359317113200682,0.7842028985507247,2657,21644,0.008585474579395402,0.16031428734873898,0.009089802395939948,0.16973146676634762
28100,0.9618340909216666,0.787153024911032,2780,22119,0.017316905022202955,0.15736416098843165,0.01833413439239019,0.16660804412846525
28600,0.9402597220814278,0.7873426573426573,2766,22518,0.004257463818035823,0.15717452855680636,0.004507555692574762,0.16640727231143929
29100,0.930117749096867,0.7863230240549828,2784,22882,0.014399436802596699,0.15819416184448087,0.0152452882992109,0.16748680088211693
29600,0.97484119981212,0.7836148648648649,2968,23195,0.030324013912656378,0.16090232103459878,0.03210530667451945,0.1703540427179962
30100,0.92634836939996,0.7861129568106312,2868,23662,0.018168816499503637,0.15840422908883245,0.019236088840672048,0.16770920789332605
30600,0.963952957106821,0.7893464052287582,3034,24154,0.0194357712073574,0.15517078067070544,0.02057746698261368,0.16428582029763314
31100,0.9262600911467445,0.7809967845659164,2963,24289,0.018257094752719194,0.16352040133354728,0.019329552733688974,0.17312591424985752
31600,0.9285255162085041,0.7819303797468354,3018,24709,0.015991669690959553,0.16258680615262822,0.016931052107570375,0.17213747783508757
32100,0.9270859239331375,0.7822741433021807,3061,25111,0.01743126196632616,0.16224304259728295,0.018455208890377543,0.1717735209262274
32600,0.9355319168967386,0.7806134969325154,3137,25448,0.008985269002725005,0.1639036889669483,0.009513081537175349,0.1735317169595626
33100,0.9484222658215602,0.7872205438066465,3229,26057,0.0039050799220965438,0.15729664209281713,0.004134472067205147,0.16653655903891632
33600,0.9360449349530845,0.787797619047619,3235,26470,0.008472250946379156,0.15671956685184463,0.00896992778200328,0.16592558525295714
